shipyard_id,shipyard_name,location,country,latitude,longitude,specialization,dry_dock_size_m,max_vessel_size_dwt,arctic_vessel_capability,annual_capacity_ships,key_clients,ownership_type,sources,confidence,last_verified
ARC-SHIP-063,"Bull Arm Floating Dry Dock (OilCo, Pre-FEED / RFEI July 2026)","Bull Arm Fabrication Site, Trinity Bay, Newfoundland and Labrador",Canada,47.9370,-53.8320,"Floating dry dock for ship repair, offshore servicing, marine construction, defence & decommissioning",TBD (floating dry dock; Pre-FEED engineering study),TBD (deepwater access & quay),Yes — defence & marine industrial capacity (support for Arctic vessels),N/A (under development; RFEI submissions due 2026-07-08),"OilCo, offshore/marine & defence sectors, decommissioning",Provincial Crown (OilCo / Province of Newfoundland and Labrador),gov.nl.ca/releases/2026/exec/0619n01 (OilCo RFEI); merx.com Reference 0000325283,85,2026-08-25
ARC-SHIP-064,Skála Shipyard Dry Dock (Articon) — new 150m graving dry dock,"Skála, Eysturoy, Faroe Islands",Faroe Islands (Denmark),62.1580,-6.7820,New dry dock for maintenance/repair of larger vessels; expanded North Atlantic repair capacity,150 m (L) × 33 m (W) × 12 m (D),TBD (larger regional vessels),Partial — North Atlantic / Arctic-adjacent (larger fishing & support vessels),"TBD (under construction; cofferdam completed with 20,000 t sand)",Faroe Islands & North Atlantic fishing/commercial fleet,Commercial (Faroe Islands marine infrastructure),bluefaroeislands.com post new-dry-dock-at-skala-takes-shape; Articon (constructor),80,2026-08-25
ARC-SHIP-065,Korsakov Composite-Material Shipyard (planned – part of KMTP modernisation),"Korsakov, Sakhalin Oblast, Russia",Russia,46.6347,142.774,Composite-material vessel construction (planned; adjacent to deep-water hub + fish-processing complex),TBD (planned; within KMTP reconstruction program),TBD,Planned – composite-material shipbuilding for Arctic/Far East fishing & support vessels,TBD,"Sakhalin fishing fleet, offshore oil & gas (planned)",State/Private (KMTP reconstruction program; Login Delo / Rosmorport),https://www.rosmarport.com/filials/shl_developmentofports/ (OFFICIAL Rosmorport: composite-material shipyard as one of 3 Korsakov modernisation projects incl. fish-processing to 500t/day); https://en.portnews.ru/news/387281/ (composite shipyard in 3-yr modernisation plan); https://www.portseurope.com/modernisation-of-privatised-korsakov-port-part-of-the-nsr/. NAME DISAMBIG: distinct from mainland shipyards; planned composite-material capacity co-located at Korsakov (Sakhalin) deep-water port.,75,2026-08-25
ARC-SHIP-067,Seaspan MPI (Multi-Purpose Icebreaker) Polar Class 4 Design Program x Aker Arctic - trilateral ICE Pact ASC design & supply chain,"Vancouver, BC (design / Vancouver Shipyards)",Canada,49.2827,-123.1207,Icebreaker design & supply-chain (Multi-Purpose Icebreaker / Polar Class 4); trilateral ICE Pact; licensed MPI Polar Class 4 design to Bollinger Shipyards & Rauma Marine Constructions for USCG Arctic Security Cutters (up to 6 vessels),,,"Multi-Purpose Icebreaker / Polar Class 4 (long-range, multi-mission extreme-Arctic ops); ready-for-production design; 21 icebreakers designed (mostly Canadian Coast Guard); design data + supply chain licensed into the ICE Pact trilateral network",,"US Coast Guard ASC programme (via Bollinger Shipyards / Rauma Marine Constructions open design + supply chain), Canadian Coast Guard, ICE Pact trilateral framework (Finland-Canada-US)",Private (Seaspan Shipyards; MPI design developed with Aker Arctic Technology Oy under Canada National Shipbuilding Strategy),"nationaldefensemagazine.org/articles/2026/1/7/canadian-company-inks-deal-to-design-new-coast-guard-icebreakers (National Defense Magazine / NDIA, 7 Jan 2026: Seaspan MPI design ready for production, developed with Aker Arctic, licensed to Bollinger + Rauma for up to 6 USCG ASCs, 21 icebreakers designed, Polar Class 4 long-range multi-mission); helsinkishipyard.fi (official ASC build context); bairdmaritime.com / highnorthnews (ASC build network). NAME DISAMBIG: distinct from ARC-SHIP-019 (Seaspan Vancouver Shipyards physical facility) and from ARC-SHIP-057 (Bollinger ASC build yard) - this row models the Seaspan MPI / Polar Class 4 design-licensing & supply-chain capability per dataset convention of capturing design & industrial-capability programmes",82,2026-08-25
ARC-SHIP-068,Bollinger Mississippi Yard (Pascagoula) — Polar Sentinel WMSP-21 Heavy Polar Icebreaker,"Pascagoula, Mississippi",USA,30.3470,-88.5430,"Heavy polar icebreaker construction (USCG Polar Security Cutter / Polar Sentinel WMSP-21); Eq-47 subzero hull steel fabrication; distributed Gulf Coast build (LaShip mid-body, Bollinger Larose bow/stern, Gulfport superstructure, assembly Pascagoula)",N/A,N/A,Heavy polar icebreaker (USCG Polar Class ~PC1/PC2); Eq-47 steel hull; 1 heavy PSC hull at a time (3 planned),1,US Coast Guard (DHS),Private (Bollinger Shipyards; acquired VT Halter Marine 2022),"news.usni.org 2026-08-17 ""Twin Icebreaker Projects Progressing at Bollinger's Gulf Coast Yards"" (Polar Sentinel WMSP-21 stern ~4 stories for welding; Eq-47 ~1.5in steel needing preheat; Bollinger acquired 2022; ~USD951.6M current work; GAO delivery ~2033; 33/85 modules, ~43 by yr-end); marinelink.com ""Construction Of Two Icebreakers At Bollinger Shipyards"" (Pascagoula MS; 2022 acquisition; USD951.6M package; 33-43 modules); news-pravda.com + usa.news-pravda.com 2026-08-18 (stern section assembly begun, EQ-47 steel; lead vessel ~USD3.4B; 3-ship program ~USD6B, ~60% over; Jul 2026 ~USD3.3B for six Arctic Security Cutters); dredgewire.com ""US Polar Security Cutter Delayed to 2033, Costs Top $6B, GAO Warns"" (GAO PSC lead delivery Mar 2033, FOC Mar 2039; ~USD6B; ~40% workforce growth); Bollinger Shipyards LinkedIn (Pascagoula MS; Amelia & Houma LA)",92,2026-08-25
ARC-SHIP-069,Bergen Group Sevgiprorybflot (Murmansk),Murmansk (Murmansk Oblast),Russia,68.9585,33.0827,"Vessel design & modernization; technical operation, repair & maintenance; fishing fleet & Arctic-navigation support; scanning/digitisation of ship design & documentation",,,Yes — Arctic/fishing vessel design & repair; supports safe navigation & fishing operations; origins 1957; Norwegian Bergen Group founder since 2008,,Russian (Murmansk region) fishing / Arctic-navigation fleet,"Private (since 2008, Norwegian Bergen Group as founder; history to 1957)","sgrf-mur.com (OFFICIAL Bergen Group Sevgiprorybflot — Murmansk shipbuilding/vessel design & repair co., origins 1957, Bergen Group founder since 2008); linkedin.com/company/sevgiprorybflot (corporate profile — design & modernisation of vessels, safe navigation, fishing ops, ship repair, Murmansk HQ, MD Vasily Shaitanov)",65,2026-08-26
ARC-SHIP-070,Harstad Mek. Verksted AS (Hamek) — Harstad Skipsindustri,"Harstad, Troms",Norway,68.7983,16.5414,"Largest regional maritime service/repair facility in Harstad; shipbuilding, marine services, welding, mechanical & piping work, docking/slip services; aquaculture, offshore, fisheries, passenger & commercial vessels",Nord-Norge's largest dry dock; 4 slipways (2 covered),,Arctic-capable ship repair & conversion; supports offshore/fisheries/passenger & commercial fleets in northern Norway; ~100 employees; ~NOK 140M annual turnover,,"Harstad municipal & regional maritime ecosystem; aquaculture, offshore, fisheries, commercial & passenger fleets",Private (wholly-owned subsidiary of Harstad Skipsindustri AS),"hamek.as (OFFICIAL Harstad Mek. Verksted AS / Hamek — region's largest maritime service facility, 4 slipways incl 2 covered, Nord-Norge's largest dry dock, ~100 staff, ~NOK 140M turnover, wholly-owned by Harstad Skipsindustri AS); harstadhavn.no (OFFICIAL Port of Harstad KF — Harstad maritime/property development & Rødskjær havn industrial park context); linkedin.com/company/harstadmek (corporate profile). NAME DISAMBIG: distinct from existing Harstad Havn KF port-authority port rows — this row models the Hamek shipyard/manufacturing facility",85,2026-08-26
ARC-SHIP-076,Zhatay Fleet Operations Base / Zhatay Shipyard (Lena River Basin fleet upgrade),"Zhatay (Yakutia, Republic of Sakha)",Russia,62.1600,129.8300,"Reconstruction & retrofit into high-tech shipyard: construction, upgrade & assembly of passenger/cargo river-marine vessels from kits supplied by AO United Shipbuilding Corporation / Russian shipbuilders; serves Lena River Basin inland transport fleet & Arctic delivery to Yakutia communities",,,"Yes — Arctic river-marine & ice-capable vessel construction/upgrade; part of National Arctic Development Program 'Fleet Upgrade & Shipbuilding for Inland Transportation of Cargo in Lena River Basin'; serves inland Arctic supply lines to Emercom & Defence Ministry bases; ~1,300 jobs",,Republic of Sakha (Yakutia) / LORP (Zhatay Fleet Operations Base) / AO United Shipbuilding Corporation,"State (federal-funded: ~RUB 5.75B project, ~RUB 4.1B federal budget)","doi.org/10.1088/1755-1315/459/6/062039 (IOPscience peer-reviewed: Zhatay Fleet Operations Base comprehensive development; ~RUB 5.75B, ~RUB 4.1B federal, ~1,300 jobs; National Arctic Development Program fleet upgrade); k2cargo.news (independent: Zhatay Shipyard modernization in Yakutia for Arctic fleet renewal)",85,2026-08-26
ARC-SHIP-071,Grovfjord Mek. Verksted AS (GMV) — Arctic-Capable Custom Shipyard,"Grovfjord, Tjeldsund (formerly Skånland), Troms",Norway,68.5830,17.3700,"Design & delivery of custom marine vessels up to 36m: autonomous/uncrewed vessels, battery-electric (zero-emission) ships, offshore wind support and Arctic-capable workboats; in-house engineering, integrated automation & propulsion,Custom builds to 36m LOA; aluminum & steel; autonomous navigation + battery-electric systems suited to remote North-Norway operations; in-house engineering and integrated automation/maneuvering; Arctic/ice-adapted and zero-emission focus","Custom shipyard, no large graving dock (slipway/build hall; ~300 dwt max)",~300 dwt (36m LOA),Arctic-capable / ice-adapted; battery-electric + autonomous systems for remote high-latitude operations; sustainable aluminum & steel designs,"~3-5 custom newbuilds/yr (small series, on-demand)","Northern-Norway fisheries, offshore wind, aquaculture & research operators; partner Changeneering AS (battery-electric)","Private (founded 1919, family-built; ~5-9 staff)","gmv.no (OFFICIAL: founded 1919, custom vessels to 36m, autonomous/battery-electric, in-house engineering, offshore-wind & Arctic-capable); gmv.no newbuild/project + Changeneering AS partner pages; Maritime Robotics & Selfa Arctic AB context of Norwegian Arctic-capable yards. NAME DISAMBIGUATION: distinct from Grovfjord Båtbyggeri A/S (small boat-builder, 2 staff) and ARC-SHIP-070 Harstad Mek. Verksted — this row is the Grovfjord Mek. Verksted (GMV) shipyard; approx geolocation 68.5830N / 17.3700E.",80,2026-08-26
ARC-SHIP-072,Green Yard Kleven AS — Ulsteinvik Shipyard (newbuild / retrofit / conversion / recycling),Ulsteinvik (Møre og Romsdal),Norway,62.3442,5.8471,"Newbuilding; retrofits; conversions; repairs; rig services; ship & rig recycling; sustainable life-cycle yard; part of Green Yard Group (with Green Yard Feda, Flekkefjord)",No graving dock; 300 t quay crane; rig harbour; vessel landing; indoor slip hall; mobile offshore/rig services,"~Newbuild/retrofit (project-based, B404 offshore vessel outfitting)","Arctic/offshore-capable — offshore rig & vessel newbuild/retrofit/recycling; northern-Norway, national & international clients; life-cycle sustainability focus","Project-based (~22 staff, build-per-project)","National & international offshore/maritime clients; project partners Marin Teknikk, ACEL Group, NES, Kongsberg Maritime","Private (Green Yard Group; founded 1944, HQ Klubbenesvegen 39, Ulsteinvik)","greenyard.no (OFFICIAL: Green Yard Kleven, Ulsteinvik, founded 1944, ~22 staff, newbuild/retrofit/conversion/repair/recycling/rig services, HQ Klubbenesvegen 39, part of Green Yard Group); linkedin.com/company/green-yard-as (Green Yard Group corporate - Kleven Ulsteinvik + Feda Flekkefjord, 300t quay crane, rig harbour, indoor slip hall); context Fiskerstrand Verft / Myklebust Verft (independent Norwegian yards)",80,2026-08-26
ARC-SHIP-073,Novatek Severny Inzhiniring (Northern Engineering) — Novatek in-house shipbuilding & engineering subsidiary (Arctic LNG carriers / FPSUs),Moscow (registered HQ 2026-03-25; vessel/FPU build-out supports Yamal LNG & Arctic LNG 2),Russia,55.7558,37.6173,"In-house shipbuilding & engineering subsidiary created to alleviate the shortage of icebreaking LNG tankers & floating production units; builds Novatek-owned vessels and floating production units, with Arkhangelsk/Murmansk-area development possible; wholly owned by Novatek, registered 25 Mar 2026, financials consolidated into Novatek",,,Arc7 / ice-class LNG carrier + FPSU engineering & construction; supports Yamal LNG & Arctic LNG 2 amid sanctions-limited access to specialized LNG tank-membrane shipbuilding tech,,"Yamal LNG, Arctic LNG 2 (Novatek group)",Private (100% Novatek-owned subsidiary; registered 2026-03-25),https://en.flows.be/shipping/2026/04/russian-novatek-sets-up-shipyard-due-to-shortage-of-icebreaker-gas-tankers/ ; https://www.imarinenews.com/34003.html,80,2026-09-02
ARC-SHIP-074,Larsnes Mek. Verksted AS — Larsnes/Sande newbuild & repair yard (well-boat & naval standard-vessel builder),"Larsnes, Sande Municipality, Møre og Romsdal",Norway,62.4500,6.0900,"Specialist newbuild, repair, docking & conversion of modern fishing vessels and live-fish/well-boats (aquaculture carriers); collaborates with Ulstein Group to deliver 28 standard vessels for the Royal Norwegian Navy (NDMA); newbuild + covered dry dock + quays; Skipskompetanse SK design platforms & zero-emission closed-transport fish carriers",135x24m covered dock + 150x40m covered hall,,Yes — weather-protected covered dry dock + hall; builds vessels for demanding Norwegian/Arctic waters and cold-climate operation; contributes to the Norwegian Navy's 28 standard-vessel fleet for national preparedness (Arctic-naval capability); serves Northern Norway fishing & well-boat fleets,Series newbuilds (live-fish carrier LFC series; key current build NB.75 hull delivery Sept 2026),"Rostein AS (main shareholder since Dec 2014); SalMar ASA; Myre Kystdrift AS; Naviera Orca Chile; Norwegian Defence Materiel Agency (NDMA, 28 standard naval vessels via Ulstein collaboration)",Private (Rostein AS main shareholder since 2014; est. 1981),"larsnes-mek.no (OFFICIAL: est. 1981, Larsnes/Sande Møre og Romsdal, 135x24m covered dry dock + 150x40m covered hall, newbuild/repair of advanced fishing & live-fish carriers, Rostein main shareholder since Dec 2014; Rostein NB.75 live-fish carrier hull delivery Sept 2026; Ulstein Group + Larsnes collaboration on 28 Royal Norwegian Navy standard vessels with NDMA, hulls from Poland Gdynia-Gdańsk, ~75-80% Norwegian value creation). NAME DISAMBIGUATION: distinct from ARC-SHIP-061 Aas Mek Verksted (Vestnes) and Fiskerstrand Verft — this is the separate Larsnes/Sande yard.",80,2026-09-03
ARC-SHIP-075,"Rosatom / Rusatomenergo planned shipyard for final assembly of floating power units (PEMs), Murmansk area","Murmansk area (exact site TBD; chosen for Atomflot adjacency, port infrastructure, direct ocean access; relieves Baltic Shipyard capacity limits), Russia",Russia,,,"Final assembly of Rosatom nuclear floating power units (RITM series) — dozens of PEBs planned for Arctic cities, mining/industrial projects and transport hubs; context includes Project 22220 icebreaker build-out; announced by Rosatom CEO Likhachev at VEF-2026 (expert.ru interview, 1 Sep 2026); investment 'tens of billions of rubles', site TBD; EARLIER INDEPENDENT REPORTING (RBC via Barents Observer, 6-Mar-2025): project cost up to RUB 100B (~EUR 1B), planned plot north of Murmansk city next to Atomflot base, project lead = Rosatom Deputy GD Andrei Nikipelov, construction possibly from 2027; yard to complete the two China-built FNPP barges for Chukotka (106 MW each) and service Akademik Lomonosov",TBD,N/A (PEB assembly),N/A — floating nuclear power plant assembly for Arctic/NSR deployment,dozens of PEBs (planned),"Rosatom/Rusatomenergo (RITM-200N floating power unit series); Arctic regions, NSR infrastructure",State corporation (Rosatom),"https://expert.ru/intervyu/transarkticheskiy-koridor-vstroit-rossiyu-v-novuyu-arkhitekturu-mirovoy-logistiki/ (Likhachev interview, OFFICIAL-CORPORATE: shipyard near Murmansk for final assembly of floating power units, tens of billions RUB, dozens of PEBs, Baltic Shipyard capacity limits, Atomflot/port/ocean-access rationale, 22220 icebreaker orders) + https://www.kommersant.ru/doc/8923014 (independent 1-Sep-2026, same interview) + https://www.thebarentsobserver.com/news/rosatom-mulls-new-yard-in-murmansk/426050 (independent, 6-Mar-2025, citing RBC: up to RUB 100B, Kola Bay plot north of Murmansk next to Atomflot, Nikipelov lead, construction from 2027) ; NAME-DISAMBIG: distinct from ARC-SHIP-049 Novatek Kola Shipyard/CSMS (private Novatek), ARC-SHIP-052 Kolskaya sports-boat workshop, ARC-SHIP-001 Baltic Shipyard St Petersburg (the constrained parent yard), and Sevmash Arkhangelsk",88,2026-09-04
